ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
11,1.0,0.0,1.6,31.0,5.0,3.0,0.6,1.0,10.6,0.0,0.0,0.0,0.0
20,2.0,0.5,0.4,28.0,9.0,3.5,0.454,0.875,14.6,0.0,0.5,0.5,0.0
29,1.667,1.0,0.2,32.667,8.667,2.667,0.344,0.75,15.833,0.0,0.333,0.333,0.333
44,1.25,1.75,0.8,32.0,7.5,2.0,0.258,0.562,17.5,0.0,0.25,0.25,0.75
51,1.2,1.6,2.5,32.4,6.0,1.6,0.207,0.583,14.0,0.0,0.4,0.4,0.6
59,1.333,1.5,0.7,33.0,7.333,3.0,0.291,0.597,13.65,0.167,0.333,0.333,0.5
72,1.143,1.571,0.9,36.143,7.857,2.857,0.276,0.598,14.457,0.429,0.286,0.286,0.429
87,1.5,1.5,1.5,36.125,8.125,3.25,0.316,0.606,14.8,0.5,0.25,0.25,0.375
89,1.333,1.444,0.6,38.111,8.889,3.444,0.318,0.622,15.322,0.444,0.222,0.222,0.333
103,1.2,1.5,1.6,40.0,9.2,3.4,0.311,0.631,15.49,0.5,0.2,0.2,0.3
114,1.545,1.455,1.6,40.909,10.0,3.636,0.313,0.642,15.536,0.455,0.182,0.182,0.273
124,1.5,1.417,1.1,41.167,10.5,3.75,0.313,0.658,15.575,0.583,0.167,0.167,0.25
128,1.462,1.385,0.3,41.692,10.308,3.615,0.308,0.646,15.392,0.538,0.154,0.154,0.231
139,1.357,1.786,0.9,41.286,9.929,3.571,0.329,0.6,15.779,0.5,0.143,0.143,0.214
148,1.267,1.867,0.5,42.6,10.133,3.733,0.338,0.604,16.073,0.6,0.133,0.133,0.2
159,1.25,1.812,0.6,42.062,9.75,3.562,0.332,0.598,15.7,0.562,0.125,0.125,0.25
170,1.294,1.706,0.8,42.176,9.706,3.588,0.339,0.621,15.829,0.529,0.118,0.118,0.235
178,1.222,1.611,0.1,41.667,9.833,3.5,0.329,0.642,15.961,0.556,0.111,0.111,0.222
187,1.158,1.737,0.7,41.0,9.421,3.316,0.312,0.626,16.605,0.526,0.105,0.105,0.211
199,1.2,1.8,1.4,41.65,9.25,3.3,0.322,0.623,16.865,0.5,0.1,0.1,0.2
208,1.19,1.714,0.7,41.952,9.333,3.238,0.315,0.641,17.014,0.571,0.095,0.095,0.19
225,1.227,1.682,0.4,41.818,9.182,3.227,0.323,0.649,17.086,0.545,0.091,0.091,0.182
227,1.174,1.696,0.5,41.435,9.13,3.217,0.326,0.651,17.183,0.522,0.087,0.087,0.174
247,1.125,1.75,0.2,41.958,9.292,3.208,0.322,0.635,17.242,0.5,0.083,0.083,0.167
253,1.16,1.72,0.1,41.32,9.04,3.16,0.335,0.641,17.152,0.48,0.08,0.08,0.16
262,1.115,1.654,0.9,41.269,8.808,3.038,0.322,0.655,17.1,0.462,0.077,0.077,0.154
273,1.074,1.593,0.5,41.111,8.778,3.0,0.32,0.668,17.144,0.481,0.074,0.074,0.148
279,1.071,1.679,1.2,40.964,8.643,2.929,0.316,0.651,17.064,0.464,0.071,0.071,0.143
299,1.069,1.621,0.7,41.103,8.517,2.931,0.325,0.663,17.269,0.448,0.103,0.103,0.138
304,1.067,1.6,0.4,41.467,8.667,3.033,0.33,0.67,17.363,0.433,0.1,0.1,0.133
328,1.065,1.677,0.7,41.29,8.419,2.968,0.351,0.666,16.994,0.419,0.097,0.097,0.129
330,1.062,1.688,0.9,41.062,8.281,2.938,0.356,0.664,16.919,0.406,0.094,0.094,0.125
340,1.03,1.697,2.0,40.788,8.303,2.97,0.359,0.654,17.0,0.394,0.091,0.091,0.121
