ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
28,4.0,3.0,2.7,49.0,20.0,4.0,0.2,0.0,18.4,0.0,2.0,2.0,0.0
53,3.5,2.0,2.3,57.5,20.5,6.0,0.29,0.333,18.15,0.0,1.0,1.0,0.0
62,3.0,1.667,1.7,59.0,19.333,5.667,0.292,0.222,18.367,0.333,0.667,0.667,0.333
86,2.75,1.5,3.1,62.25,16.5,5.25,0.344,0.333,18.775,0.5,0.75,0.75,0.25
106,2.8,1.2,1.2,61.0,18.0,6.4,0.367,0.467,17.56,0.4,0.6,0.6,0.2
123,3.0,1.0,1.0,60.833,16.833,6.333,0.396,0.556,17.5,0.5,0.5,0.5,0.167
146,2.857,1.0,1.5,62.857,16.857,7.0,0.432,0.548,17.343,0.429,0.429,0.429,0.143
177,2.625,1.0,1.2,64.625,16.875,6.375,0.393,0.562,17.575,0.625,0.375,0.375,0.125
184,2.333,0.889,1.6,64.667,16.889,6.0,0.369,0.611,17.611,0.556,0.333,0.333,0.111
214,2.1,0.9,1.0,65.4,17.9,6.0,0.354,0.617,17.71,0.5,0.3,0.3,0.2
223,1.909,0.909,1.2,65.182,17.273,5.545,0.33,0.629,18.0,0.455,0.273,0.273,0.182
241,1.833,1.167,1.4,64.417,16.417,5.25,0.327,0.593,18.117,0.5,0.333,0.333,0.25
265,1.692,1.231,0.3,64.923,16.308,5.308,0.332,0.594,18.038,0.538,0.308,0.308,0.308
271,1.571,1.214,0.9,64.143,15.643,5.0,0.319,0.605,18.157,0.5,0.286,0.286,0.286
303,1.467,1.2,2.3,64.067,15.667,4.867,0.31,0.609,18.1,0.533,0.267,0.267,0.267
322,1.5,1.188,2.4,64.125,16.125,5.188,0.318,0.621,18.012,0.562,0.25,0.25,0.25
342,1.471,1.176,1.7,64.353,16.471,5.412,0.323,0.628,17.988,0.588,0.235,0.235,0.235
373,1.5,1.111,1.6,63.778,16.333,5.444,0.329,0.649,17.744,0.556,0.222,0.222,0.222
407,2.0,0.0,2.5,65.0,27.0,8.0,0.296,1.0,16.1,0.0,0.0,0.0,0.0
423,1.5,0.5,3.1,65.0,25.0,7.0,0.279,0.833,16.15,0.0,0.5,0.5,0.0
450,2.0,0.333,0.9,63.0,25.0,8.0,0.319,0.889,16.233,0.333,0.333,0.333,0.0
474,2.0,0.75,1.5,59.5,20.25,6.75,0.364,0.75,15.925,0.5,0.25,0.25,0.0
498,2.0,1.0,4.3,59.2,19.0,6.0,0.334,0.733,16.9,0.4,0.2,0.2,0.0
502,2.333,0.833,2.9,59.667,19.0,6.5,0.358,0.778,16.317,0.333,0.167,0.167,0.0
534,2.571,0.714,2.2,60.286,19.143,6.429,0.349,0.81,16.2,0.286,0.143,0.143,0.0
545,2.375,0.625,2.7,60.5,19.125,6.125,0.332,0.708,16.188,0.25,0.25,0.25,0.0
580,2.444,0.667,2.7,62.0,19.556,6.333,0.334,0.704,16.211,0.222,0.222,0.222,0.0
603,2.5,0.6,1.8,62.6,20.3,7.0,0.348,0.733,16.26,0.2,0.2,0.2,0.0
